127.0.0.1 - - [09/Dec/2024:18:47:59 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:35:08 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:35:11 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientesdd HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:35:16 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletClienteddd HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:35:41 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?filtro=id&txtFiltro=d&Param=filtrarClientes HTTP/1.1" 500 1754
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:53:56 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCuenta?Param=listarCuentas&pagina=2 HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:54:07 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:54:33 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?filtro=id&txtFiltro=r&Param=filtrarClientes HTTP/1.1" 500 1755
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:57:37 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?filtro=id&txtFiltro=r&Param=filtrarClientes HTTP/1.1" 500 1755
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:58:11 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?filtro=id&txtFiltro=r&Param=filtrarClientes HTTP/1.1" 500 1755
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:58:13 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:58:14 -0300] "GET /TPINT_GRUPO_6_LAB4/AltaCuentaAdmin.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:58:15 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:58:20 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?filtro=id&txtFiltro=d&Param=filtrarClientes HTTP/1.1" 500 1755
0:0:0:0:0:0:0:1 - - [09/Dec/2024:19:59:17 -0300] "GET /TPINT_GRUPO_6_LAB4/ListaSolicitudAltaCuentaAdmin.jsp HTTP/1.1" 200 1227
